iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
3,30,full,contriever,factual_anchored,20,66,66,0,0.8566037735849057,0.7746882947468238,0.8802998838418574,0.8025081406166932,0.7577898940848912
4,40,full,contriever,factual_anchored,20,76,76,0,0.8603773584905661,0.7804715355135882,0.8830849170893861,0.8070553973147483,0.7644591674963389
5,50,full,contriever,factual_anchored,20,90,86,4,0.8943396226415095,0.8054777254617489,0.9134020606557355,0.8254147533752797,0.7923564129451196
6,60,full,contriever,factual_anchored,20,102,96,6,0.8905660377358491,0.8009967708054616,0.9094631491693612,0.8208734653028131,0.7883500884177549
7,70,full,contriever,factual_anchored,20,112,106,6,0.909433962264151,0.8155328219142937,0.9269438606880631,0.8320246435475815,0.8030993291984592
8,80,full,contriever,factual_anchored,20,124,116,8,0.9207547169811321,0.825072235775074,0.9356931807415922,0.8400314745463402,0.8153332955923631
9,90,full,contriever,factual_anchored,20,134,126,8,0.9433962264150944,0.8340920407438703,0.9492158505265111,0.8406157501844952,0.8304248175834683
10,100,full,contriever,factual_anchored,20,145,136,9,0.9547169811320755,0.8971701427115769,0.9576305742593557,0.901346342680455,0.8960676898392909
11,110,full,contriever,factual_anchored,20,145,136,9,0.9547169811320755,0.8975301455715797,0.9574117128886378,0.9013191095649866,0.896725584576133
1,10,factuals_only,bge_large,-,20,46,46,0,0.8377358490566038,0.7220672547917908,0.8606523190607202,0.7524604806957749,0.7063600599671345
1,10,factuals_only,bge_large,-,20,46,46,0,0.8377358490566038,0.7233108812064158,0.8622479152153334,0.7545917679933026,0.7063600599671345
2,20,factuals_only,bge_large,-,20,56,56,0,0.8452830188679246,0.7301422760482001,0.8719606979960352,0.7639504400118211,0.7100171312220734
2,20,factuals_only,bge_large,-,20,56,56,0,0.8415094339622642,0.726950386856806,0.8681600623025207,0.7602865633939803,0.7074595864650403
3,30,factuals_only,bge_large,-,20,66,66,0,0.8566037735849057,0.7801668290858708,0.8832936173719357,0.8126140993668167,0.7592721152628361
3,30,factuals_only,bge_large,-,20,66,66,0,0.8603773584905661,0.7821278578745814,0.8862157195957678,0.8132736864108432,0.7619993700564918
