iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
8,80,factuals_only,bge_large,-,20,101,101,0,0.7777777777777778,0.777942227942228,0.7779422279422279,0.7789531017085197,0.7777777777777777
8,80,factuals_only,bge_large,-,20,101,101,0,0.7777777777777778,0.7790143084260731,0.7790143084260732,0.7828947368421053,0.7777777777777778
9,90,factuals_only,bge_large,-,20,111,111,0,0.7962962962962963,0.7972114972114972,0.7972114972114972,0.7989336085311317,0.7962962962962963
9,90,factuals_only,bge_large,-,20,111,111,0,0.8055555555555556,0.8060478584600085,0.8060478584600085,0.8081023607339396,0.8055555555555557
10,100,factuals_only,bge_large,-,20,121,121,0,0.7962962962962963,0.7969108409972773,0.7969108409972774,0.7977262977262978,0.7962962962962963
10,100,factuals_only,bge_large,-,20,121,121,0,0.7962962962962963,0.7978806170355467,0.7978806170355467,0.8007972419737125,0.7962962962962963
11,110,factuals_only,bge_large,-,20,121,121,0,0.7962962962962963,0.7978806170355467,0.7978806170355467,0.8007972419737125,0.7962962962962963
11,110,factuals_only,bge_large,-,20,121,121,0,0.8148148148148148,0.8162933154482449,0.8162933154482451,0.8191481720893486,0.8148148148148149
1,10,full,bge_large,mixed,20,35,31,4,0.7962962962962963,0.7988089853761494,0.7988089853761495,0.8064953230177463,0.7962962962962963
2,20,full,bge_large,mixed,20,51,41,10,0.8148148148148148,0.8181655524650693,0.8181655524650694,0.8336700336700336,0.8148148148148149
3,30,full,bge_large,mixed,20,65,51,14,0.7777777777777778,0.7815827069558413,0.7815827069558412,0.7905994113704579,0.7777777777777778
4,40,full,bge_large,mixed,20,81,61,20,0.7777777777777778,0.7816766654269282,0.7816766654269282,0.7915514592933949,0.7777777777777778
5,50,full,bge_large,mixed,20,95,71,24,0.8148148148148148,0.8179115570419918,0.8179115570419918,0.8261183261183261,0.8148148148148149
6,60,full,bge_large,mixed,20,112,81,31,0.8148148148148148,0.8175294333473621,0.8175294333473621,0.8272551092318534,0.8148148148148149
7,70,full,bge_large,mixed,20,127,91,36,0.7870370370370371,0.7891461195809022,0.7891461195809022,0.7947842847412431,0.7870370370370371
8,80,full,bge_large,mixed,20,145,101,44,0.8055555555555556,0.8075187969924812,0.8075187969924812,0.811764705882353,0.8055555555555555
9,90,full,bge_large,mixed,20,164,111,53,0.8055555555555556,0.8062428625808907,0.8062428625808907,0.8075187969924812,0.8055555555555555
10,100,full,bge_large,mixed,20,180,121,59,0.8055555555555556,0.8073279377627204,0.8073279377627203,0.8127182876106837,0.8055555555555557
11,110,full,bge_large,mixed,20,180,121,59,0.7777777777777778,0.7790499194847021,0.7790499194847021,0.7821160321160322,0.7777777777777778
1,10,full,bge_large,factual_anchored,20,35,31,4,0.8055555555555556,0.8081603538824477,0.8081603538824476,0.8169482846902202,0.8055555555555557
2,20,full,bge_large,factual_anchored,20,51,41,10,0.8148148148148148,0.8181655524650693,0.8181655524650694,0.8336700336700336,0.8148148148148149
3,30,full,bge_large,factual_anchored,20,65,51,14,0.7777777777777778,0.7809907573784955,0.7809907573784955,0.7882621951219512,0.7777777777777778
4,40,full,bge_large,factual_anchored,20,81,61,20,0.7685185185185185,0.7737113485905757,0.7737113485905757,0.7902356902356903,0.7685185185185185
5,50,full,bge_large,factual_anchored,20,95,71,24,0.8148148148148148,0.8179115570419918,0.8179115570419918,0.8261183261183261,0.8148148148148149
6,60,full,bge_large,factual_anchored,20,112,81,31,0.8055555555555556,0.8088235294117646,0.8088235294117646,0.8210227272727272,0.8055555555555557
7,70,full,bge_large,factual_anchored,20,127,91,36,0.7870370370370371,0.7891461195809022,0.7891461195809022,0.7947842847412431,0.7870370370370371
8,80,full,bge_large,factual_anchored,20,145,101,44,0.8148148148148148,0.8171277997364954,0.8171277997364954,0.8231163862440763,0.8148148148148149
9,90,full,bge_large,factual_anchored,20,164,111,53,0.8055555555555556,0.8067695059244354,0.8067695059244355,0.809344250520721,0.8055555555555555
10,100,full,bge_large,factual_anchored,20,180,121,59,0.7870370370370371,0.7891461195809022,0.7891461195809022,0.7947842847412431,0.7870370370370371
11,110,full,bge_large,factual_anchored,20,180,121,59,0.7870370370370371,0.7891296869625043,0.7891296869625043,0.7944444444444446,0.7870370370370371
