iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
3,30,full,bm25,factual_anchored,20,82,60,22,0.535,0.5035414147256252,0.5436419567274831,0.5124603174603175,0.5205913810912782
4,40,full,bm25,factual_anchored,20,98,70,28,0.525,0.48593376268006144,0.5334357098055075,0.5018553680262541,0.49181532794138244
5,50,full,bm25,factual_anchored,20,115,80,35,0.52,0.4622078829625999,0.5292870143483351,0.4701460901460901,0.4723786177250621
6,60,full,bm25,factual_anchored,20,132,90,42,0.535,0.4811617745610948,0.5408119160850968,0.5032980907980907,0.4768548654399846
7,70,full,bm25,factual_anchored,20,149,100,49,0.52,0.46676545411035164,0.5246206026551485,0.47507770007770006,0.47280120055129604
8,80,full,bm25,factual_anchored,20,166,110,56,0.51,0.4602383112153176,0.515381611598521,0.4691678691678692,0.4674766569407484
9,90,full,bm25,factual_anchored,20,179,120,59,0.52,0.442356371671714,0.5244199921406818,0.4540298168015558,0.44408971595745855
10,100,full,bm25,factual_anchored,20,198,130,68,0.525,0.4723914696861002,0.5313019519787838,0.48172115895800105,0.4800475773628903
11,110,full,bm25,factual_anchored,20,198,130,68,0.53,0.4911390538205657,0.5362977483727538,0.4966919191919192,0.5038571011724141
1,10,factuals_only,contriever,-,20,40,40,0,0.525,0.48658642483784004,0.53230596854854,0.4923287528449573,0.5066119873458851
1,10,factuals_only,contriever,-,20,40,40,0,0.525,0.48988568091455265,0.5322384424560966,0.4921382998847788,0.5109848009390884
2,20,factuals_only,contriever,-,20,50,50,0,0.515,0.47774855147028705,0.5217694296036344,0.4773659110615633,0.4941628742118203
2,20,factuals_only,contriever,-,20,50,50,0,0.515,0.4825109530991884,0.5222674710910006,0.4833838383838384,0.5015158153882909
3,30,factuals_only,contriever,-,20,60,60,0,0.515,0.4684772181317587,0.5221448198480683,0.4758578574849663,0.4827269294080006
3,30,factuals_only,contriever,-,20,60,60,0,0.52,0.47410115679040854,0.527065556373147,0.4810269360269361,0.48517790980015746
4,40,factuals_only,contriever,-,20,70,70,0,0.535,0.49861108247726516,0.5410628303123648,0.502046853285686,0.5106808951577743
4,40,factuals_only,contriever,-,20,70,70,0,0.535,0.499272133501377,0.5405463924276528,0.5028805979892936,0.5106808951577743
5,50,factuals_only,contriever,-,20,80,80,0,0.525,0.4754874655686598,0.5336642961776223,0.4884291634291635,0.47962499453665636
5,50,factuals_only,contriever,-,20,80,80,0,0.525,0.4767382714418417,0.5336265281088536,0.4870924640661483,0.4844203909560936
6,60,factuals_only,contriever,-,20,90,90,0,0.54,0.4751647522533146,0.5466685170920893,0.48660878242304634,0.4803252746487012
